#투력	데미지	Hp
10	30	40
10	30	40
15	40	70
15	40	70
15	40	70
20	50	100
20	50	100
20	50	100
20	50	100
20	50	100
25	60	130
25	60	130
25	60	150
		
25	60	130
25	60	130
25	60	130
25	60	180
30	70	160
30	70	160
30	70	160
30	70	160
35	80	190
35	80	190
35	80	190
35	80	190
35	100	190
		
40	90	220
40	90	220
40	90	220
40	110	220
45	100	250
45	100	250
45	100	250
45	120	250
50	110	280
50	120	290
		
70	150	400
70	150	400
70	150	400
70	150	400
80	170	460
80	170	460
80	185	460
90	190	520
90	190	520
90	190	520
		
100	210	580
100	210	580
100	210	580
110	230	640
110	230	640
		
		
140	290	820
140	290	820
140	290	820
145	300	850
150	350	880
		
		
		
		
150	310	880
150	310	880
155	320	910
160	330	940
160	330	940
160	330	960
		
		
		
		
		
165	340	970
165	340	970
165	340	970
170	350	1000
170	350	1000
180	370	1200
		
		
		
		
180	370	1060
180	370	1060
180	370	1060
180	370	1060
180	370	1060
180	370	1060
185	380	1120
185	380	1120
185	380	1120
		
190	390	1180
190	390	1180
190	390	1180
195	400	1240
195	400	1240
195	400	1240
200	410	1300
200	410	1500
220	450	1600
