#마릿수	재화가치	총 재화	스코어	총 스코어
2	 50 	 100 	500	1000
2	 50 	 100 	500	1000
1	 100 	 100 	600	600
1	 100 	 100 	600	600
1	 100 	 100 	600	600
1	 150 	 150 	700	700
1	 150 	 150 	700	700
1	 150 	 150 	700	700
1	 150 	 150 	700	700
1	 150 	 150 	700	700
2	 200 	 400 	800	1600
2	 200 	 400 	800	1600
1	 220 	 220 	850	850
#		 2,270 		11350
2	 200 	 400 	800	1600
1	 200 	 200 	800	800
1	 200 	 200 	800	800
1	 270 	 270 	900	900
1	 250 	 250 	900	900
1	 250 	 250 	900	900
2	 250 	 500 	900	1800
1	 250 	 250 	900	900
1	 300 	 300 	1000	1000
1	 300 	 300 	1000	1000
1	 300 	 300 	1000	1000
1	 300 	 300 	1000	1000
1	 330 	 330 	1100	1100
#		 3,850 		13700
1	 350 	 350 	1100	1100
2	 350 	 700 	1100	2200
1	 350 	 350 	1100	1100
1	 380 	 380 	1200	1200
1	 400 	 400 	1200	1200
1	 400 	 400 	1200	1200
1	 400 	 400 	1200	1200
1	 430 	 430 	1300	1300
2	 450 	 900 	1300	2600
1	 480 	 480 	1400	1400
#		 4,790 		14500
1	 650 	 650 	1700	1700
1	 650 	 650 	1700	1700
1	 650 	 650 	1700	1700
1	 650 	 650 	1700	1700
2	 750 	 1,500 	1900	3800
1	 750 	 750 	1900	1900
1	 780 	 780 	2000	2000
1	 850 	 850 	2100	2100
2	 850 	 1,700 	2100	4200
2	 850 	 1,700 	2100	4200
#		 9,880 		25000
1	 950 	 950 	2300	2300
2	 950 	 1,900 	2300	4600
2	 950 	 1,900 	2300	4600
2	 1,150 	 2,300 	2500	5000
3	 1,150 	 3,450 	2500	7500				
#		 10,500 		24000
2	 1,450 	 2,900 	3100	6200
1	 1,450 	 1,450 	3100	3100
1	 1,450 	 1,450 	3100	3100
3	 1,500 	 4,500 	3200	9600
1	 1,600 	 1,600 	3400	3400				
#		 11,900 		25400
2	 1,550 	 3,100 	3300	6600
1	 1,550 	 1,550 	3300	3300
1	 1,600 	 1,600 	3400	3400
1	 1,650 	 1,650 	3500	3500
2	 1,650 	 3,300 	3500	7000
1	 1,700 	 1,700 	3600	3600								
#		 12,900 		27400
2	 1,700 	 3,400 	3600	7200
2	 1,700 	 3,400 	3600	7200
1	 1,700 	 1,700 	3600	3600
2	 1,750 	 3,500 	3700	7400
1	 1,750 	 1,750 	3700	3700
1	 1,900 	 1,900 	4000	4000
#		 15,650 		33100
2	 1,850 	 3,700 	3900	7800
2	 1,850 	 3,700 	3900	7800
1	 1,850 	 1,850 	3900	3900
2	 1,850 	 3,700 	3900	7800
2	 1,850 	 3,700 	3900	7800
1	 1,850 	 1,850 	3900	3900
1	 1,900 	 1,900 	4000	4000
1	 1,900 	 1,900 	4000	4000
1	 1,900 	 1,900 	4000	4000
#		 24,200 		51000
1	 1,950 	 1,950 	4100	4100
2	 1,950 	 3,900 	4100	8200
1	 1,950 	 1,950 	4100	4100
2	 2,000 	 4,000 	4200	8400
2	 2,000 	 4,000 	4200	8400
1	 2,000 	 2,000 	4200	4200
1	 2,050 	 2,050 	4300	4300
2	 2,200 	 4,400 	4400	8800
1	 2,500 	 2,500 	5000	5000
#		 26,750 		55500
